"","ResponseId","income","exp1_tech_cons"
"87","R_3qmqFnFNXcD3wbL","1.801€ - 2.100€","1.801€ - 2.100€"
"88","R_0dLtgmry2ALuqJj","601€ - 900€","601€ - 900€"
"89","R_3lFAAQfVeNiWTPQ","1.501€ - 1.800€","1.501€ - 1.800€"
"90","R_7ZMfaFkiBXKFPpf","901€ - 1.200€","901€ - 1.200€"
"91","R_3EBjtelshFFYwhb","2.751€ - 3.550€","2.751€ - 3.550€"
"92","R_3nIXh7EULaAnje3","600€ or less","600€ or less"
"93","R_22Akm66qZ09vhBk","901€ - 1.200€","901€ - 1.200€"
"94","R_1ouwN8ZvwMIFCOE","1.801€ - 2.100€","1.801€ - 2.100€"
"95","R_25GaRmUdxigYKof","1.201€ - 1.500€","1.201€ - 1.500€"
"96","R_b1lwW3dQ7lQTyG5","600€ or less","600€ or less"
"97","R_cOUb7l3KI0IcLWV","1.801€ - 2.100€","1.801€ - 2.100€"
"98","R_BQCvb0QRLTJUAKZ","901€ - 1.200€","901€ - 1.200€"
"99","R_2S9nZ0s0C3QjTVM","901€ - 1.200€","901€ - 1.200€"
"100","R_2q1wLQqTBz5iOqs","1.201€ - 1.500€","1.201€ - 1.500€"
"101","R_ZKmaXbgyGP6e2Gt","601€ - 900€","601€ - 900€"
"102","R_2an8caCGDZYbxmx","1.501€ - 1.800€","1.501€ - 1.800€"
"103","R_1QsIiTQsi9iRX5b","601€ - 900€","601€ - 900€"
"104","R_ePB3geEyvpp0koh","1.801€ - 2.100€","1.801€ - 2.100€"
"105","R_reYVeUdEIE1eY7v","2.301€ - 2.750€","2.301€ - 2.750€"
"106","R_2XbbESsYCp7cBKM","600€ or less","600€ or less"
"107","R_2dtYJdIVCUjBabz","601€ - 900€","601€ - 900€"
"108","R_1rlxA47cZHmIwET","600€ or less","600€ or less"
"109","R_3G9bLidA2KfbbcK","1.501€ - 1.800€","1.501€ - 1.800€"
"110","R_2UXb1mm66RT28hs","More than 3.550€","More than 3.550€"
"111","R_9QTy6YisYtJbvt7","901€ - 1.200€","901€ - 1.200€"
"112","R_0IB5gYaFCGBIAO5","901€ - 1.200€","901€ - 1.200€"
"113","R_2wKsw1TXehNT0x1","1.201€ - 1.500€","1.201€ - 1.500€"
"114","R_T1snkjPp5GBaDCh","901€ - 1.200€","901€ - 1.200€"
"115","R_3IYag6CMinrOwxi","1.201€ - 1.500€","1.201€ - 1.500€"
"116","R_sIpCETzos5l0aiJ","More than 3.550€","More than 3.550€"
"117","R_1ewrhskYhfHvhhV","1.801€ - 2.100€","1.801€ - 2.100€"
"118","R_24kEeOjEGkafqh5","1.501€ - 1.800€","1.501€ - 1.800€"
"119","R_RyIImtNn3u4MN1v","901€ - 1.200€","901€ - 1.200€"
"120","R_28AoznEXTaG0l29","601€ - 900€","601€ - 900€"
"121","R_31sKWstLbNHzQYL","1.201€ - 1.500€","1.201€ - 1.500€"
"122","R_u1GYCmMvtbsRgDT","600€ or less","600€ or less"
"123","R_AbQUIitXGZt6Krv","600€ or less","600€ or less"
"124","R_1gpBFJjQ4uwPRMa","600€ or less","600€ or less"
"125","R_2rME5yFktZAL8SL","1.201€ - 1.500€","1.201€ - 1.500€"
"126","R_3n6lcI9qJyFXm8C","901€ - 1.200€","901€ - 1.200€"
"127","R_3kcdCqDphQQGFNG","1.201€ - 1.500€","1.201€ - 1.500€"
"128","R_1jD7GDlTRAk1lvH","1.201€ - 1.500€","1.201€ - 1.500€"
"129","R_2dRY9xVT8fFSGX7","1.201€ - 1.500€","1.201€ - 1.500€"
"130","R_3fepJFX1gULtQHG","901€ - 1.200€","901€ - 1.200€"
"131","R_123afqlfh6LaVus","2.301€ - 2.750€","2.301€ - 2.750€"
"132","R_3Jyo9jm9DjExVUV","600€ or less","600€ or less"
"133","R_1nNKkBAgCMOKxT7","1.501€ - 1.800€","1.501€ - 1.800€"
"134","R_uerZLD5yCo4iEzn","600€ or less","600€ or less"
"135","R_3lyRM6IfDAevpQM","1.201€ - 1.500€","1.201€ - 1.500€"
"136","R_2rDfeT8boDHVCVv","2.101€ - 2.400€","2.101€ - 2.400€"
"137","R_AED2MpSiUBG89TH","2.301€ - 2.750€","2.301€ - 2.750€"
"138","R_2OYJvSHz8hcwjFD","601€ - 900€","601€ - 900€"
"139","R_1jwjDLT9nYT3pUi","600€ or less","600€ or less"
"140","R_3KAEarAiz3vjZm5","1.501€ - 1.800€","1.501€ - 1.800€"
"141","R_1NbpF2V39O7aq2u","600€ or less","600€ or less"
"142","R_3Gr05Dc6JjifoCr","2.751€ - 3.550€","2.751€ - 3.550€"
"143","R_3KrX3c66TtB35Ru","600€ or less","600€ or less"
"144","R_XTYf5QIcjSp4w5X","600€ or less","600€ or less"
"145","R_AhzepqrhS2Cdyxz","600€ or less","600€ or less"
"146","R_2anwS2dNrV0OCge","600€ or less","600€ or less"
"147","R_1f7KRIUs1RoAxLf","2.101€ - 2.400€","2.101€ - 2.400€"
"148","R_2DYoF5e69ntFpyP","1.201€ - 1.500€","1.201€ - 1.500€"
"149","R_1riaRcNZ67Zj2qf","901€ - 1.200€","901€ - 1.200€"
"150","R_3FWIciTHs8KLPae","600€ or less","600€ or less"
"151","R_DRUiw6jnOtc21Cp","901€ - 1.200€","901€ - 1.200€"
"152","R_290OwuSrFa9q7Jm","1.801€ - 2.100€","1.801€ - 2.100€"
"153","R_3QW7QsKfEqoJ5Iq","1.201€ - 1.500€","1.201€ - 1.500€"
"154","R_3pgbIapnuEafYhX","901€ - 1.200€","901€ - 1.200€"
"155","R_3EQOr54LZdW9AKA","1.201€ - 1.500€","1.201€ - 1.500€"
"156","R_RQ7RCHfTCsCrnwZ","2.301€ - 2.750€","2.301€ - 2.750€"
"157","R_a60XZSNDwaYoJPj","901€ - 1.200€","901€ - 1.200€"
"158","R_Q0Vyp2kFO71VKOB","1.501€ - 1.800€","1.501€ - 1.800€"
"159","R_27HlDprUKVFBBNK","600€ or less","600€ or less"
"160","R_10VtBdBlXpJvK6Q","600€ or less","600€ or less"
"161","R_2CfXdZuRQefzPIy","901€ - 1.200€","901€ - 1.200€"
"162","R_2qw7urjcLymcT8c","601€ - 900€","601€ - 900€"
"163","R_30irQ47zftGTcy9","1.801€ - 2.100€","1.801€ - 2.100€"
"164","R_2Pqdi71Fy48dbyT","1.501€ - 1.800€","1.501€ - 1.800€"
"165","R_2c1TeSzhj68RplP","1.201€ - 1.500€","1.201€ - 1.500€"
"166","R_eQmGZL8e6mctNct","901€ - 1.200€","901€ - 1.200€"
"167","R_3O7gjjq6Eis3Us6","1.801€ - 2.100€","1.801€ - 2.100€"
"168","R_22LWXRDH8NC6rOe","600€ or less","600€ or less"
"169","R_C8EarKpXnBBIiLD","1.501€ - 1.800€","1.501€ - 1.800€"
"170","R_pLEHhWSO1xCQglH","601€ - 900€","601€ - 900€"
"171","R_3HZHW0shTseJGis","600€ or less","600€ or less"
"172","R_2c8eOTDFwyGDm2K","601€ - 900€","601€ - 900€"
"173","R_2azdlv6HZ1luSCi","601€ - 900€","601€ - 900€"
"174","R_3fGyZAsUMIdlGPp","1.201€ - 1.500€","1.201€ - 1.500€"
"175","R_3KGYgy0y8K1aK82","901€ - 1.200€","901€ - 1.200€"
"176","R_3h6IASXzT3lzl6B","901€ - 1.200€","901€ - 1.200€"
"177","R_XA5GrGFeiX5p8DD","2.101€ - 2.400€","2.101€ - 2.400€"
"178","R_1GysuSAO8BP46q8","600€ or less","600€ or less"
"179","R_XyQEY0TQxarkLiV","1.201€ - 1.500€","1.201€ - 1.500€"
"180","R_rjwcyFCnXIsNtsJ","600€ or less","600€ or less"
"181","R_DjbxF8XdnJIXSoN","901€ - 1.200€","901€ - 1.200€"
"182","R_3nJHcn60OZJj9uP","600€ or less","600€ or less"
"183","R_32KfQzxAFgIS8js","1.801€ - 2.100€","1.801€ - 2.100€"
"184","R_3R49XQtp31XhhbO","600€ or less","600€ or less"
"185","R_2q4N269mbQkLiZ8","601€ - 900€","601€ - 900€"
"186","R_udWW4OFLzciFbaN","600€ or less","600€ or less"
"187","R_30uiGiL6fTLufUf","600€ or less","600€ or less"
"188","R_81CYOjCDYWNJ4qt","601€ - 900€","601€ - 900€"
"189","R_2S8eq0DqJte8Ppk","600€ or less","600€ or less"
"190","R_etB1r93JQ3Yf8wp","600€ or less","600€ or less"
"191","R_AKFZl0GlKnjhHot","601€ - 900€","601€ - 900€"
"192","R_3GdeUHmqAbac7h4","901€ - 1.200€","901€ - 1.200€"
"193","R_2xRX52eW2GgJszq","600€ or less","600€ or less"
"194","R_1FkMaPH9D0kZFbf","1.501€ - 1.800€","1.501€ - 1.800€"
"195","R_2TN3vy3kkAPumN7","600€ or less","600€ or less"
"196","R_3JkDP1vkJIir0g4","1.501€ - 1.800€","1.501€ - 1.800€"
"197","R_qXb9WpuVNUNdSpj","901€ - 1.200€","901€ - 1.200€"
"198","R_1CrxujTiMElDvYz","600€ or less","600€ or less"
"199","R_3EEaaSIBBig2Lde","600€ or less","600€ or less"
"200","R_2TTYj7FBjY7WxPP","600€ or less","600€ or less"
"201","R_2zqhs9C5cWyYJBC","1.501€ - 1.800€","1.501€ - 1.800€"
"202","R_9vDZIjM9hZ9iqk1","600€ or less","600€ or less"
"203","R_3HoZyvvdxFOBMYc","601€ - 900€","601€ - 900€"
"204","R_9pnhDDNsG3RyKlP","600€ or less","600€ or less"
"205","R_tRqspQTG6qYhVkJ","600€ or less","600€ or less"
"206","R_7Up3bFpQewSTuUN","600€ or less","600€ or less"
"207","R_3HoZGkiDVobi2ac","600€ or less","600€ or less"
"208","R_1q3tc4dkrvF0Bht","600€ or less","600€ or less"
"209","R_3I6x8t5QdF19jlm","600€ or less","600€ or less"
"210","R_3DuT4twqzEojigk","600€ or less","600€ or less"
"211","R_VOSM0Ix8lZq9BAt","600€ or less","600€ or less"
"212","R_3qpUWdNFoiTEQQk","601€ - 900€","601€ - 900€"
"213","R_2xWSYuICWLnZzjz","601€ - 900€","601€ - 900€"
"214","R_2zo1cajsmfyCRdF","1.201€ - 1.500€","1.201€ - 1.500€"
"215","R_z6be2HIW3r2Dbgd","601€ - 900€","601€ - 900€"
"216","R_qIqIUCss9aGLKLv","1.501€ - 1.800€","1.501€ - 1.800€"
"217","R_1IuRGonUQL4zTqy","901€ - 1.200€","901€ - 1.200€"
"218","R_OwMyZ827UZJPep3","2.301€ - 2.750€","2.301€ - 2.750€"
"219","R_O6YCAkpNaxXlBst","600€ or less","600€ or less"
"220","R_2vdAxF4vuMMfASY","601€ - 900€","601€ - 900€"
"221","R_DCeqOZU8oPZEkIV","1.501€ - 1.800€","1.501€ - 1.800€"
"222","R_2t9mnE6Zz7gGvEA","1.501€ - 1.800€","1.501€ - 1.800€"
"223","R_1fecnIDIHaKXSLi","600€ or less","600€ or less"
"224","R_9mD4st0LnU6lQYh","1.801€ - 2.100€","1.801€ - 2.100€"
"225","R_1lmJ3bEvBELj8iv","1.501€ - 1.800€","1.501€ - 1.800€"
"226","R_10xA3urbxyG5wXG","601€ - 900€","601€ - 900€"
"227","R_2VOOtFWZRvAuJRq","600€ or less","600€ or less"
"228","R_3NINTshhDwlE86p","901€ - 1.200€","901€ - 1.200€"
"229","R_2CkByc4KQIZb2fh","901€ - 1.200€","901€ - 1.200€"
"230","R_3NU7WALSj7CZdKY","601€ - 900€","601€ - 900€"
"231","R_3sbHmialBr8Yb5M","600€ or less","600€ or less"
"232","R_3Dw0rDyE3bo7dPh","600€ or less","600€ or less"
"233","R_1jOPvfeqZifmhZT","600€ or less","600€ or less"
"234","R_25L4gqrEWzXSKx6","600€ or less","600€ or less"
"235","R_3MhcBjwOnFYVDU7","1.501€ - 1.800€","1.501€ - 1.800€"
"236","R_3RaN5ZnJqEXCvxQ","2.101€ - 2.400€","2.101€ - 2.400€"
"237","R_ZDEFKfx0Qcpbi1z","600€ or less","600€ or less"
"238","R_2y26JpUXmZM42rq","601€ - 900€","601€ - 900€"
"239","R_pKSn5KxXxKRalkR","1.801€ - 2.100€","1.801€ - 2.100€"
"240","R_3QSh7hwiruL3zfw","901€ - 1.200€","901€ - 1.200€"
"241","R_1ruY3Izur76l8LB","More than 3.550€","More than 3.550€"
"242","R_2z6D9dImo4iMz1z","901€ - 1.200€","901€ - 1.200€"
"243","R_31c5t5MjcVq17Rb","600€ or less","600€ or less"
"244","R_24nRm8PFyZOVecJ","600€ or less","600€ or less"
"245","R_1CIPls2txL6QUNH","600€ or less","600€ or less"
"246","R_1gTOyo37TqnV7St","601€ - 900€","601€ - 900€"
"247","R_z6izRvsXfZAASbv","600€ or less","600€ or less"
"248","R_vrj6yu72DhqGPUl","601€ - 900€","601€ - 900€"
"249","R_Ua0WEiDqjQta3Yd","601€ - 900€","601€ - 900€"
"250","R_3PLE4yDBoMxfu0q","1.201€ - 1.500€","1.201€ - 1.500€"
"251","R_1mQUrezsGGoxYRs","601€ - 900€","601€ - 900€"
"252","R_2B8KuSPacekTdFr","601€ - 900€","601€ - 900€"
"253","R_2SiaGFNsq2XUzvi","600€ or less","600€ or less"
"254","R_4HgiDnYNiT1cTrH","901€ - 1.200€","901€ - 1.200€"
"255","R_2wG0WI9K1JcSw7r","600€ or less","600€ or less"
"256","R_24CrNp9yPy0yu18","600€ or less","600€ or less"
"257","R_3HLFeduUlMZiqxM","600€ or less","600€ or less"
"258","R_rlMnSvbsXRdbw9r","601€ - 900€","601€ - 900€"
"259","R_1d0oGGdyiucCmSM","600€ or less","600€ or less"
"260","R_2q8esJNbyNSUf5b","601€ - 900€","601€ - 900€"
"261","R_334kZcqryxr3Ooe","600€ or less","600€ or less"
"262","R_1oItzaUJesXyxzg","1.801€ - 2.100€","1.801€ - 2.100€"
"263","R_Au606i6kgbZXla9","2.751€ - 3.550€","2.751€ - 3.550€"
"264","R_3OpiS2ie27Gu38Z","600€ or less","600€ or less"
"265","R_2QQx4feBRAzxqLd","600€ or less","600€ or less"
"266","R_3smfKG7gxdfLDFF","1.501€ - 1.800€","1.501€ - 1.800€"
"267","R_QfTb68IRdBukUSd","1.201€ - 1.500€","1.201€ - 1.500€"
"268","R_3mDAsJrYkFRdZHX","601€ - 900€","601€ - 900€"
"269","R_2xPhRWyoJMiUxCx","1.201€ - 1.500€","1.201€ - 1.500€"
"270","R_2pMoZsJ87X5xUDA","1.501€ - 1.800€","1.501€ - 1.800€"
"271","R_2D8NqDNXLmMU8O1","More than 3.550€","More than 3.550€"
"272","R_1N3JPvZXXIlkt0O","600€ or less","600€ or less"
"273","R_V4QMTbFHRZNUbUR","600€ or less","600€ or less"
"274","R_3hb9GPLBspRXbv3","1.201€ - 1.500€","1.201€ - 1.500€"
"275","R_DO8nqAHdD0BRPMd","601€ - 900€","601€ - 900€"
"276","R_2c6Vkxs9ZRnIIPD","1.501€ - 1.800€","1.501€ - 1.800€"
"277","R_2OVxVGuXPqTitKO","1.201€ - 1.500€","1.201€ - 1.500€"
"278","R_OE7K6I8wQeXRQpX","600€ or less","600€ or less"
"279","R_3kccNMlKBizoQhr","601€ - 900€","601€ - 900€"
"280","R_yz4bx6nKzFT3alH","1.201€ - 1.500€","1.201€ - 1.500€"
"281","R_1M02EK2jVzJPY95","1.201€ - 1.500€","1.201€ - 1.500€"
"282","R_WxqJUaXjd5o5m2l","1.501€ - 1.800€","1.501€ - 1.800€"
"283","R_2gUm6E3EgiiHURz","600€ or less","600€ or less"
"284","R_3JKTptv7zIRM5Zn","600€ or less","600€ or less"
"285","R_2QxjOnH2F8fOk1G","600€ or less","600€ or less"
"286","R_1QnhejcSfGTV74A","601€ - 900€","601€ - 900€"
"287","R_WoZPyUpRq7y1dZL","901€ - 1.200€","901€ - 1.200€"
"288","R_0J8VFSEPhRRkntL","601€ - 900€","601€ - 900€"
"289","R_2X4dFCmYNrtIcUD","601€ - 900€","601€ - 900€"
"290","R_CfqUqbfyURrCAkp","600€ or less","600€ or less"
"291","R_3n7XUWUIr8fEnme","901€ - 1.200€","901€ - 1.200€"
"292","R_3KBehQ4xrM4Qnmq","600€ or less","600€ or less"
"293","R_3HtvGPRFexDlKOd","1.201€ - 1.500€","1.201€ - 1.500€"
"294","R_3l34s7Nkl9xJOwh","600€ or less","600€ or less"
"295","R_1QoODJJ5SWdhENJ","600€ or less","600€ or less"
"296","R_31SNMQmO55UHZIl","600€ or less","600€ or less"
"297","R_3g6EyN2rLoLxg48","901€ - 1.200€","901€ - 1.200€"
"298","R_1nVk79Dkg6cZnTe","600€ or less","600€ or less"
"299","R_233vVZrtdGMBfXD","600€ or less","600€ or less"
"300","R_1QyEEaFg6WoHHld","1.201€ - 1.500€","1.201€ - 1.500€"
"301","R_3Pwd2wspckb3YcW","600€ or less","600€ or less"
"302","R_2BnD9QRLUnR85HW","1.501€ - 1.800€","1.501€ - 1.800€"
"303","R_2EsgpdzZ6UOCcg5","601€ - 900€","601€ - 900€"
"304","R_1rqtwMzBEoaNvp4","600€ or less","600€ or less"
"305","R_2WAzSUDc98YBiUI","1.501€ - 1.800€","1.501€ - 1.800€"
"306","R_2cAsvZ0hX6JPOxA","901€ - 1.200€","901€ - 1.200€"
"307","R_7VRngZbCS7uxc2Z","901€ - 1.200€","901€ - 1.200€"
"308","R_5ALLCjKECKgBq9P","600€ or less","600€ or less"
"309","R_10qFgjJLmIAbyFn","600€ or less","600€ or less"
"310","R_ZriWFrED2ifx8LT","601€ - 900€","601€ - 900€"
"311","R_eakZjec7IoZmFFL","600€ or less","600€ or less"
"312","R_1KsaJdwtvdJqgn7","1.501€ - 1.800€","1.501€ - 1.800€"
"313","R_3kdLilFEZrdFeKN","601€ - 900€","601€ - 900€"
"314","R_10CTcJEiBFHVwft","601€ - 900€","601€ - 900€"
"315","R_1jWddpx8h3MZrfo","600€ or less","600€ or less"
"316","R_1mPiioAnDvSPDYZ","601€ - 900€","601€ - 900€"
"317","R_1E4cOL8OCrAxrz9","901€ - 1.200€","901€ - 1.200€"
"318","R_3ReJELtOJcxaW0G","901€ - 1.200€","901€ - 1.200€"
"319","R_2w7wxzKwqfiYMqG","601€ - 900€","601€ - 900€"
"320","R_3iPV7WFrP6GRgdn","600€ or less","600€ or less"
"321","R_1ITukmZZFjJqaGw","600€ or less","600€ or less"
"322","R_XFi6P1bBBnxDAxr","600€ or less","600€ or less"
"323","R_3KLjOYMYHJJprEt","901€ - 1.200€","901€ - 1.200€"
"324","R_xg7lWMazaJAbtvz","600€ or less","600€ or less"
"325","R_24IpZg2okRtnXJL","1.201€ - 1.500€","1.201€ - 1.500€"
"326","R_3388LcKH1p7kWJX","600€ or less","600€ or less"
"327","R_2aE32PJRWZqjaEE","601€ - 900€","601€ - 900€"
"328","R_2cou2CvfaYqeUKn","600€ or less","600€ or less"
"329","R_1hMgtf2mAmV58y9","1.201€ - 1.500€","1.201€ - 1.500€"
"330","R_3Enhw1cKEU5CtJf","1.501€ - 1.800€","1.501€ - 1.800€"
"331","R_25RfJuGn4RP8xIO","601€ - 900€","601€ - 900€"
"332","R_3O18GJWc0JpcXGz","600€ or less","600€ or less"
"333","R_2CprDciC0TPQazL","600€ or less","600€ or less"
"334","R_1d6RPOZSEiDm4Jb","601€ - 900€","601€ - 900€"
"335","R_3RlIEnwpEMBs3N2","600€ or less","600€ or less"
"336","R_1eQMZ0RI1X4FkLw","600€ or less","600€ or less"
"337","R_xmXixTbp8Qyb3vb","901€ - 1.200€","901€ - 1.200€"
"338","R_3ehnmUKe81kaYJl","901€ - 1.200€","901€ - 1.200€"
"339","R_10vhSc52fMqIj63","600€ or less","600€ or less"
"340","R_3rM6eK1ojWUVsGo","600€ or less","600€ or less"
"341","R_r8bbyWJupNTSvND","600€ or less","600€ or less"
"342","R_2CHtkMyBD8FnJHh","600€ or less","600€ or less"
"343","R_CZynoaJ6bW8LQRP","601€ - 900€","601€ - 900€"
"344","R_2dXzdqONNOWaLrg","600€ or less","600€ or less"
"345","R_oXHBWT1XJTBxubn","600€ or less","600€ or less"
"346","R_2QFgIxriQXZ9UBM","2.101€ - 2.400€","2.101€ - 2.400€"
"347","R_W0BUWleI1xHs7GF","600€ or less","600€ or less"
"348","R_Y5pRsdp5WiOO1xf","1.201€ - 1.500€","1.201€ - 1.500€"
"349","R_1IbgSAyLMVXJC8U","601€ - 900€","601€ - 900€"
"350","R_31Sm46oCXx3Xdia","600€ or less","600€ or less"
"351","R_1dyrPGVR5p68zM0","600€ or less","600€ or less"
"352","R_22mHY3R5xwvWtAH","901€ - 1.200€","901€ - 1.200€"
"353","R_2qjUZr8bgGHq1bm","600€ or less","600€ or less"
"354","R_4SliHLMaXvaXemJ","901€ - 1.200€","901€ - 1.200€"
"355","R_Q3OSZw6G1q28jxT","601€ - 900€","601€ - 900€"
"356","R_1QFPXpLpiJ8ZP67","600€ or less","600€ or less"
"357","R_1FM5lB1xCo7LjgI","600€ or less","600€ or less"
